brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
LG,34GK950F-B,34.0,3440 x 1440,144,1,IPS,21:9,769.00
LG,24GL600F-B,23.6,1920 x 1080,144,1,TN,16:9,179.99
LG,27GN750-B,27.0,1920 x 1080,240,1,IPS,16:9,396.99
Samsung,C27JG56,27.0,2560 x 1440,144,4,VA,16:9,309.94
Acer,VG270 Pbiip,27.0,1920 x 1080,144,,IPS,16:9,204.98
MSI,Optix G27C4,27.0,1920 x 1080,165,,VA,16:9,231.99
Sceptre,E255B-1658A,24.5,1920 x 1080,165,1,TN,16:9,
Asus,ROG Strix XG279Q,27.0,2560 x 1440,170,1,IPS,16:9,629.99
Samsung,Odyssey G9 C49G97T,48.8,5120 x 1440,240,1,VA,32:9,1249.99
AOC,24G2U/BK,24.0,1920 x 1080,144,,IPS,16:9,
Asus,ROG SWIFT PG35VQ,35.0,3440 x 1440,200,2,VA,21:9,3398.99
BenQ,GL2480,24.0,1920 x 1080,75,1,TN,16:9,117.98
MSI,Optix G24C,23.6,1920 x 1080,144,1,VA,16:9,199.99
Acer,XF240H,24.0,1920 x 1080,144,1,TN,16:9,169.99
MSI,Optix MAG321CQR,31.5,2560 x 1440,144,1,VA,16:9,393.85
MSI,Optix G241VC,23.6,1920 x 1080,75,1,VA,16:9,
ViewSonic,VX2768-2KPC-MHD,27.0,2560 x 1440,144,,VA,16:9,229.99
AOC,G2490VX,23.8,1920 x 1080,144,1,VA,16:9,179.99
Asus,VG248QE,24.0,1920 x 1080,144,1,,16:9,
Acer,Nitro VG240Y bmiix,23.8,1920 x 1080,75,1,IPS,16:9,159.99
Acer,XV272U Pbmiiprzx,27.0,2560 x 1440,144,1,IPS,16:9,446.77
Asus,ProArt PQ22UC,21.6,3840 x 2160,60,1,OLED,16:9,3959.49
Asus,VP28UQG,28.0,3840 x 2160,60,1,TN,16:9,252.62
Alienware,AW2720HF,27.0,1920 x 1080,240,1,IPS,16:9,497.00
LG,34GN850-B,34.0,3440 x 1440,160,1,IPS,21:9,996.99
Westinghouse,WM32DX9019,31.5,2560 x 1440,144,,VA,16:9,244.98
MSI,Optix MAG272CRX,27.0,1920 x 1080,240,1,VA,16:9,319.99
Sceptre,C305B-200UN,30.0,2560 x 1080,200,5,VA,21:9,
Gigabyte,G34WQC,34.0,3440 x 1440,144,,VA,21:9,399.99
Asus,VG245H,24.0,1920 x 1080,75,1,TN,16:9,162.99
Gigabyte,G32QC,31.5,2560 x 1440,165,,,16:9,319.99
BenQ,GW2283,21.5,1920 x 1080,60,5,IPS,16:9,99.99
Acer,XFA240 bmjdpr,24.0,1920 x 1080,144,1,TN,16:9,
Dell,S3220DGF,31.5,2560 x 1440,165,5,VA,16:9,329.99
Asus,VP228QG,21.5,1920 x 1080,75,1,TN,16:9,109.98
VIOTEK,GFT27DB,27.0,2560 x 1440,144,1,TN,16:9,
Alienware,AW3420DW,34.1,3440 x 1440,120,2,IPS,21:9,1012.71
LG,UltraGear 38GN950-B,38.0,3840 x 1600,160,1,IPS,12:5,3015.00
MSI,Optix G271,27.0,1920 x 1080,144,,IPS,16:9,249.83
Samsung,C49RG9,49.0,5120 x 1440,120,4,VA,32:9,999.99
ViewSonic,VX2458-C-MHD,23.6,1920 x 1080,144,,VA,16:9,159.99
Asus,ROG SWIFT PG27UQ,27.0,3840 x 2160,144,4,IPS,16:9,1689.99
MSI,Optix G27C2,27.0,1920 x 1080,144,1,VA,16:9,279.00
Samsung,LC27RG50FQNXZA,27.0,1920 x 1080,240,4,VA,16:9,269.99
LG,24M47VQ,24.0,1920 x 1080,60,2,TN,16:9,139.99
Asus,PG279Q ROG Swift,27.0,2560 x 1440,165,4,IPS,16:9,869.95
AOC,CQ27G1,27.0,2560 x 1440,144,,VA,16:9,418.99
AOC,27G2,27.0,1920 x 1080,144,,IPS,16:9,
MSI,Optix MAG272CQR,27.0,2560 x 1440,165,1,VA,16:9,395.99
Alienware,AW2518H,24.5,1920 x 1080,240,1,TN,16:9,799.99
ViewSonic,VX2458-mhd,23.6,1920 x 1080,144,5,TN,16:9,169.17
Pixio,PXC243,23.6,1920 x 1080,144,3,VA,16:9,209.94
MSI,Optix MPG341CQR,34.0,3440 x 1440,144,1,VA,21:9,779.99
LG,25UM58-P,25.0,2560 x 1080,60,5,IPS,21:9,149.99
MSI,Optix G32C4,31.5,1920 x 1080,165,1,VA,16:9,269.99
AOC,U2790VQ,27.0,3840 x 2160,60,5,IPS,16:9,244.48
Asus,TUF Gaming VG27AQL1A,27.0,2560 x 1440,170,,IPS,16:9,473.82
LG,32GK850F-B,32.0,2560 x 1440,144,1,VA,16:9,545.99
Asus,VG279Q,27.0,1920 x 1080,144,,IPS,16:9,289.99
AOC,E2270SWHN,21.5,1920 x 1080,60,5,TN,16:9,170.58
AOC,CQ32G1,31.5,2560 x 1440,144,1,VA,16:9,
LG,27GN850-B,27.0,2560 x 1440,144,1,IPS,16:9,399.99
Asus,TUF GAMING VG32VQ,31.5,2560 x 1440,144,1,VA,16:9,436.98
Samsung,C24F390,24.0,1920 x 1080,60,4,VA,16:9,109.99
AOC,CU34G2X/BK,34.0,3440 x 1440,144,,VA,21:9,599.99
BenQ,GW2480,23.8,1920 x 1080,60,5,IPS,16:9,117.98
Samsung,S24R350,23.8,1920 x 1080,75,5,IPS,16:9,99.99
Asus,VP249QGR,23.8,1920 x 1080,144,4,IPS,16:9,268.99
MSI,Optix MAG251RX,24.5,1920 x 1080,240,1,IPS,16:9,359.99
Asus,VG258QR,24.5,1920 x 1080,165,0.5,TN,16:9,258.95
Pixio,PX248 Prime,24.0,1920 x 1080,144,,IPS,16:9,179.94
Asus,TUF Gaming VG27BQ,27.0,2560 x 1440,165,0.4,TN,16:9,399.00
LG,24MP59G-P,23.8,1920 x 1080,75,5,IPS,16:9,143.66
Acer,Predator X27 Pbmiphzx,27.0,3840 x 2160,144,4,IPS,16:9,1799.99
Asus,TUF GAMING VG27WQ,27.0,2560 x 1440,165,,VA,16:9,364.98
AOC,G2590FX,24.5,1920 x 1080,144,1,TN,16:9,214.99
Sceptre,C325B-185RD,31.5,1920 x 1080,185,3,VA,16:9,319.77
AOC,24B2XH,23.8,1920 x 1080,75,8,IPS,16:9,99.99
Samsung,CHG90,49.0,3840 x 1080,144,1,VA,32:9,749.99
HP,W2072a (A3M50AA#ABA),20.0,1600 x 900,60,5,,16:9,
LG,32GK650F-B,32.0,2560 x 1440,144,5,VA,16:9,388.00
Dell,S2716DG,27.0,2560 x 1440,144,1,TN,16:9,589.99
Acer,KG241Q Pbiip,23.6,1920 x 1080,144,1,TN,16:9,199.99
HP,OMEN X 27,27.0,2560 x 1440,240,,TN,16:9,559.99
Asus,VA27EHE,27.0,1920 x 1080,75,,IPS,16:9,147.99
Razer,RAPTOR 27,27.0,2560 x 1440,144,,IPS,16:9,699.99
LG,27GK750F-B,27.0,1920 x 1080,240,1,TN,16:9,326.18
Asus,ROG Swift PG43UQ,43.0,3840 x 2160,144,,VA,16:9,
BenQ,XL2546,24.5,1920 x 1080,240,1,TN,16:9,469.00
Sceptre,E248W-19203R,23.8,1920 x 1080,75,14,TN,16:9,104.68
Asus,ProArt Display PA278QV,27.0,2560 x 1440,75,5,IPS,16:9,294.99
Asus,VS228H-P,21.5,1920 x 1080,,5,,16:9,99.99
AOC,C27G2,27.0,1920 x 1080,165,,VA,16:9,279.99
LG,27UL500-W,27.0,3840 x 2160,60,5,IPS,16:9,349.99
Acer,XV240Y Pbmiiprx,23.8,1920 x 1080,165,,IPS,16:9,179.99
AOC,27B1H,27.0,1920 x 1080,60,,IPS,16:9,129.99
Acer,XV273K Pbmiipphzx,27.0,3840 x 2160,144,1,IPS,16:9,919.99
Acer,Nitro VG272 Xbmiipx,27.0,1920 x 1080,240,0.1,IPS,16:9,449.99
ViewSonic,ELITE XG270QG,27.0,2560 x 1440,165,1,IPS,16:9,509.99
AOC,CQ27G2U/BK,27.0,2560 x 1440,144,,VA,16:9,
HP,P204,19.5,1600 x 900,60,,TN,16:9,108.95
HP,OMEN X Emperium 65,65.0,3840 x 2160,144,4,VA,16:9,3199.00
Acer,PREDATOR X35 bmiphzx,35.0,3440 x 1440,200,2,VA,21:9,2428.98
BenQ,GL2780,27.0,1920 x 1080,75,1,TN,16:9,144.98
MSI,Optix MAG272CR,27.0,1920 x 1080,165,1,VA,16:9,279.99
LG,24MK430H-B,23.8,1920 x 1080,75,5,IPS,16:9,109.00
Sceptre,C248W-1920RN,23.6,1920 x 1080,75,5,VA,16:9,205.06
Lenovo,L24q-30,23.8,2560 x 1440,75,,IPS,16:9,154.99
Lenovo,E2054,19.5,1440 x 900,60,14,IPS,16:10,76.06
BenQ,GL2460HM,24.0,1920 x 1080,60,2,TN,16:9,119.99
Asus,ROG STRIX XG32VQR,32.0,2560 x 1440,144,4,VA,16:9,730.76
Asus,TUF GAMING VG259Q,24.5,1920 x 1080,144,,IPS,16:9,313.82
Xiaomi,XM700001,34.0,3440 x 1440,144,4,VA,21:9,
Acer,Nitro XZ272U Pbmiiphx,27.0,2560 x 1440,165,4,VA,16:9,289.98
LG,34GP83A-B,34.0,3440 x 1440,144,1,IPS,21:9,799.99
Alienware,AW2518HF,24.5,1920 x 1080,240,1,TN,16:9,
MSI,Optix MAG301CR,30.0,2560 x 1080,200,,VA,21:9,349.99
Samsung,U28E590D,28.0,3840 x 2160,60,1,TN,16:9,423.03
ViewSonic,VS2210-h,21.5,1920 x 1080,75,5,IPS,16:9,89.99
Asus,ROG Strix XG49VQ,49.0,3840 x 1080,144,4,VA,32:9,899.00
Samsung,C27HG70,26.9,2560 x 1440,144,1,VA,16:9,414.99
Acer,V277U,27.0,2560 x 1440,75,4,IPS,16:9,229.00
VIOTEK,GNV34DBE,34.0,3440 x 1440,144,4,VA,21:9,
ViewSonic,VX2758-P-MHD,27.0,1920 x 1080,144,1,TN,16:9,219.99
Pixio,PX247,23.8,1920 x 1080,144,,IPS,16:9,179.94
Acer,Predator XB272 bmiprz,27.0,1920 x 1080,240,1,TN,16:9,598.49
Samsung,LC27JG50QQNZA,27.0,2560 x 1440,144,4,VA,16:9,
BenQ,XL2540,24.5,1920 x 1080,240,1,TN,16:9,798.98
Samsung,CF398,27.0,1920 x 1080,60,4,VA,16:9,149.99
HP,27xq,27.0,2560 x 1440,144,1,TN,16:9,320.45
Gigabyte,AORUS FI27Q-P,27.0,2560 x 1440,165,,IPS,16:9,529.99
Samsung,LU32J590UQNXZA,32.0,3840 x 2160,60,4,VA,16:9,269.99
Asus,ROG Strix XG248Q,23.8,1920 x 1080,240,1,TN,16:9,
Asus,TUF Gaming VG289Q,28.0,3840 x 2160,60,5,IPS,16:9,421.98
BenQ,XL2411,24.0,1920 x 1080,144,1,TN,16:9,199.00
Asus,TUF Gaming VG27VQ,27.0,1920 x 1080,165,,VA,16:9,299.49
Alienware,AW5520QF,55.0,3840 x 2160,120,0.5,OLED,16:9,
Samsung,U28R550,28.0,3840 x 2160,60,4,IPS,16:9,259.99
LG,38GL950G-B,37.5,3840 x 1600,175,,IPS,12:5,1596.99
AOC,Q27G2U/BK,27.0,2560 x 1440,144,,VA,16:9,
Lenovo,L22e-20,21.5,1920 x 1080,60,4,VA,16:9,74.99
LG,34GL750-B,34.0,2560 x 1080,144,5,IPS,21:9,674.94
Sceptre,E205W-1600,20.0,1600 x 900,60,5,TN,16:9,76.98
Samsung,C32JG56,32.0,2560 x 1440,144,4,VA,16:9,304.98
iiyama,G-MASTER BLACK HAWK,24.5,1920 x 1080,75,1,TN,16:9,248.92
LG,24MK600M-B,24.0,1920 x 1080,75,5,IPS,16:9,148.99
Dell,S2417DG,23.8,2560 x 1440,165,1,TN,16:9,469.88
iiyama,G-MASTER BLACK HAWK,21.5,1920 x 1080,75,1,TN,16:9,159.30
Acer,XG270HU,27.0,2560 x 1440,144,1,TN,16:9,279.99
MSI,Optix MAG341CQ,34.0,3440 x 1440,100,8,VA,21:9,379.99
LG,27QN600-B,27.0,2560 x 1440,75,5,IPS,16:9,246.99
Acer,VG240Y Pbiip,23.8,1920 x 1080,144,,IPS,16:9,499.99
Acer,UM.WV6AA.B01,21.5,1920 x 1080,60,5,TN,16:9,109.00
Acer,XB271HU bmiprz,27.0,2560 x 1440,165,4,IPS,16:9,549.00
iiyama,G-MASTER RED EAGLE,27.0,2560 x 1440,144,1,TN,16:9,486.26
HP,VH240a,23.8,1920 x 1080,60,5,IPS,16:9,124.99
Acer,Predator X34,34.0,3440 x 1440,100,4,IPS,21:9,1599.00
AOC,C27G2ZE/BK,27.0,1920 x 1080,240,,VA,16:9,
BenQ,EX2780Q,27.0,2560 x 1440,144,5,IPS,16:9,449.99
ViewSonic,ELITE XG270,27.0,1920 x 1080,240,1,IPS,16:9,399.99
VIOTEK,GFI27QXA,27.0,3840 x 2160,144,5,IPS,16:9,599.99
ViewSonic,VA1903H,18.5,1366 x 768,60,5,TN,16:9,79.94
BenQ,EL2870U,28.0,3840 x 2160,60,1,TN,16:9,299.99
Asus,ROG Strix XG438Q,43.0,3840 x 2160,120,4,VA,16:9,1099.00
LG,27BK400H-B,27.0,1920 x 1080,75,2,TN,16:9,149.99
Asus,ROG Swift PG258Q,24.5,1920 x 1080,240,1,TN,16:9,
Acer,ED322QR Pbmiipx,31.5,1920 x 1080,144,4,VA,16:9,197.99
Acer,ED270R PBIIPX,27.0,1920 x 1080,165,5,VA,16:9,209.99
HP,Omen 27i,27.0,2560 x 1440,165,,IPS,16:9,379.99
Acer,ED273 Abidpx,27.0,1920 x 1080,144,4,VA,16:9,277.00
LG,38WN95C-W,38.0,3840 x 1600,144,1,IPS,12:5,1599.99
Gigabyte,AORUS CV27Q-SA,27.0,2560 x 1440,165,,VA,16:9,399.99
Lenovo,Legion Y27q-20,27.0,2560 x 1440,165,,IPS,16:9,399.99
Pixio,PX329,31.5,2560 x 1440,165,5,VA,16:9,299.99
HP,V270,27.0,1920 x 1080,60,5,IPS,16:9,139.99
LG,22BK430H-B,21.5,1920 x 1080,60,5,IPS,16:9,99.99
Gigabyte,AORUS FI27Q-SA,27.0,2560 x 1440,165,,IPS,16:9,439.99
HP,22cwa,21.5,1920 x 1080,60,7,IPS,16:9,84.99
Acer,Predator XB271HUA,27.0,2560 x 1440,165,1,TN,16:9,
HP,Omen 25,24.5,1920 x 1080,144,,TN,16:9,209.99
Acer,R240HY bidx,23.8,1920 x 1080,60,4,IPS,16:9,129.99
MSI,Optix G32CQ4,31.5,2560 x 1440,165,4,VA,16:9,309.99
Samsung,UR59C,32.0,3840 x 2160,60,4,VA,16:9,349.99
Dell,SE2719H,27.0,1920 x 1080,60,5,IPS,16:9,154.99
Samsung,C32HG70,31.5,2560 x 1440,144,1,VA,16:9,529.99
Monoprice,138035,35.0,3440 x 1440,120,4,VA,21:9,399.99
Acer,GN246HL,24.0,1920 x 1080,144,1,TN,16:9,
Asus,TUF Gaming VG328H1B,31.5,1920 x 1080,165,,VA,16:9,249.99
LG,27UK650-W,27.0,3840 x 2160,60,5,IPS,16:9,496.99
Acer,Predator X34,34.0,3440 x 1440,120,4,IPS,21:9,859.94
Asus,VA229HR,21.5,1920 x 1080,75,5,IPS,16:9,99.00
Asus,MG248QR,24.0,1920 x 1080,144,1,TN,16:9,243.64
Asus,ROG Strix XG258Q,24.5,1920 x 1080,240,1,TN,16:9,
LG,34UM69G-B,34.0,2560 x 1080,75,1,IPS,21:9,326.99
Dell,DHSE2417HGX,23.6,1920 x 1080,75,1,TN,16:9,140.19
MSI,Optix MAG272C,27.0,1920 x 1080,165,1,VA,16:9,704.94
Samsung,LS24F354FHNXZA,23.5,1920 x 1080,60,4,PLS,16:9,99.99
Acer,XV340CK Pbmiipphzx,34.0,3440 x 1440,144,,IPS,21:9,1142.99
Dell,P2419H,23.8,1920 x 1080,60,5,IPS,16:9,165.89
LG,32UD59-B,32.0,3840 x 2160,60,5,VA,16:9,326.99
BenQ,PD2700U,27.0,3840 x 2160,60,5,IPS,16:9,499.00
Sceptre,C355W-3440UN,35.0,3440 x 1440,100,4,VA,21:9,
MSI,OPTIX MAG271CQR,27.0,2560 x 1440,144,1,VA,16:9,
Sceptre,E275W-1920,27.0,1920 x 1080,60,5,,16:9,
Acer,Predator XB241YU,23.8,2560 x 1440,165,1,TN,16:9,449.99
Acer,VG271 Pbmiipx,27.0,1920 x 1080,144,1,IPS,16:9,299.00
AOC,27G2U/BK,27.0,1920 x 1080,144,,IPS,16:9,393.00
Samsung,LC32F391FWNXZA,32.0,1920 x 1080,60,4,VA,16:9,249.99
AOC,C32G1,31.5,1920 x 1080,144,1,VA,16:9,
Acer,V206WQL b,19.5,1440 x 900,60,5,IPS,16:10,85.99
Acer,VG271U Pbmiipx,27.0,2560 x 1440,144,1,IPS,16:9,488.00
LG,24UD58-B,23.8,3840 x 2160,60,5,IPS,16:9,299.99
Samsung,S22E450D,21.5,1920 x 1080,60,5,TN,16:9,89.99
Sceptre,C275B-144RN,27.0,1920 x 1080,144,3,VA,16:9,395.55
Acer,ED323QUR Abidpx,31.5,2560 x 1440,144,4,VA,16:9,319.99
MSI,Optix AG32CQ,31.5,2560 x 1440,144,1,VA,16:9,499.99
ViewSonic,VA2055SM,19.5,1920 x 1080,60,25,VA,16:9,84.99
Asus,VG258Q,24.5,1920 x 1080,144,1,TN,16:9,
Acer,KG271U bmiippx,27.0,2560 x 1440,75,1,TN,16:9,258.64
Acer,QG241Y bii,23.8,1920 x 1080,75,,VA,16:9,109.99
Acer,V227Q Abmipx,21.5,1920 x 1080,75,4,VA,16:9,119.21
Acer,EI272UR Pbmiiipx,27.0,2560 x 1440,144,4,VA,16:9,500.00
Asus,VS247H-P,23.6,1920 x 1080,,2,,16:9,114.00
Dell,U2718Q,27.0,3840 x 2160,60,5,IPS,16:9,589.99
Dell,U4919DW,49.0,5120 x 1440,60,5,IPS,32:9,1288.52
BenQ,BL2420PT,23.8,2560 x 1440,60,5,IPS,16:9,229.00
Samsung,SJ55W,34.1,3440 x 1440,75,4,VA,21:9,349.99
AOC,22E1H,21.5,1920 x 1080,60,2,TN,16:9,104.94
Acer,XF250Q Bbmiiprx,24.5,1920 x 1080,144,1,TN,16:9,199.31
Dell,E1916HV,18.5,1366 x 768,60,5,TN,16:9,86.98
iiyama,G-MASTER GB2760HSU-B1,27.0,1920 x 1080,144,1,TN,16:9,397.38
HP,D2W67A8#ABA,19.0,1280 x 1024,60,5,TN,5:4,114.99
ViewSonic,VA2719-2K-SMHD,27.0,2560 x 1440,60,14,IPS,16:9,219.99
Dell,U2720Q,27.0,3840 x 2160,60,5,IPS,16:9,529.00
Asus,VE248H,24.0,1920 x 1080,,2,,16:9,115.99
ViewSonic,XG2402,24.0,1920 x 1080,144,1,TN,16:9,239.99
Acer,EB321HQU Cbidpx,31.5,2560 x 1440,60,4,IPS,16:9,244.98
BenQ,ZOWIE XL2746S,27.0,1920 x 1080,240,,TN,16:9,649.00
Asus,ROG Strix XG32VQ,31.5,2560 x 1440,144,4,VA,16:9,689.95
VIOTEK,GFV27DAB,27.0,2560 x 1440,144,,VA,16:9,
AOC,Agon AG493UCX,49.0,5120 x 1440,120,,VA,32:9,937.99
Acer,K242HQL bid,23.6,1920 x 1080,60,5,VA,16:9,99.99
Acer,XB253Q Gpbmiiprzx,24.5,1920 x 1080,144,,IPS,16:9,279.99
Dell,SE2419HR,23.8,1920 x 1080,75,4,IPS,16:9,132.08
Asus,ProArt Display PA248QV,24.1,1920 x 1200,60,5,IPS,16:10,189.99
Planar,PL1910MW,19.0,1440 x 900,,5,,16:10,
BenQ,PD3200U,32.0,3840 x 2160,60,4,IPS,16:9,699.00
Philips,243V7QJAB,23.8,1920 x 1080,60,4,IPS,16:9,134.98
Dell,S2419HGF,24.0,1920 x 1080,144,1,TN,16:9,319.99
iiyama,G-Master GB3466WQSU-B1,34.0,3440 x 1440,144,,VA,21:9,
Asus,ROG SWIFT PG278QR,27.0,2560 x 1440,165,1,TN,16:9,
Acer,HA270 Abi,27.0,1920 x 1080,75,4,IPS,16:9,129.99
LG,29WK600-W,29.0,2560 x 1080,75,5,IPS,21:9,295.08
Lenovo,66A1GCCBUS,34.0,3440 x 1440,144,,VA,21:9,399.99
LG,34BK95U-W,34.0,5120 x 2160,75,,IPS,64:27,1099.00
Asus,ROG SWIFT PG278Q,27.0,2560 x 1440,144,1,TN,16:9,
Asus,VP248QG,24.0,1920 x 1080,75,1,TN,16:9,169.44
ViewSonic,VX2776-4K-MHD,27.0,3840 x 2160,,4,IPS,16:9,329.99
Gigabyte,AORUS CV27F,27.0,1920 x 1080,165,1,VA,16:9,
MSI,Optix MAG27CQ,27.0,2560 x 1440,144,1,VA,16:9,459.94
Asus,VA24DQ,23.8,1920 x 1080,75,,IPS,16:9,119.00
Lenovo,Y27gq-25,27.0,2560 x 1440,240,0.5,TN,16:9,
Acer,SB230 Bbix,23.0,1920 x 1080,75,,IPS,16:9,109.99
Asus,ROG Strix XG43VQ,43.4,3840 x 1200,120,,VA,16:5,714.99
Dell,U3415W,34.0,3440 x 1440,60,5,IPS,21:9,599.99
Samsung,CR500,26.9,1920 x 1080,60,4,VA,16:9,149.99
AOC,G2460PF,24.0,1920 x 1080,144,1,TN,16:9,560.00
Sceptre,C275W-1920RN,27.0,1920 x 1080,75,8,VA,16:9,
Acer,Predator XB273K Pbmiphzx,27.0,3840 x 2160,144,4,IPS,16:9,
Lenovo,ThinkVision T27q-20,27.0,2560 x 1440,60,4,IPS,16:9,223.00
AOC,Q3279VWFD8,31.5,2560 x 1440,75,4,IPS,16:9,361.00
Dell,SE2216H,21.5,1920 x 1080,60,12,IPS,16:9,109.99
Asus,VS239H-P,23.0,1920 x 1080,,5,IPS,16:9,119.99
Sceptre,C248B-144R,24.0,1920 x 1080,144,3,VA,16:9,252.99
Acer,XZ342CK Pbmiiphx,34.0,3440 x 1440,144,,VA,21:9,1216.74
Acer,Nitro VG270U,27.0,2560 x 1440,75,1,IPS,16:9,
LG,34WN80C-B,34.0,3440 x 1440,60,5,IPS,21:9,699.99
Acer,K222HQL,21.5,1920 x 1080,60,5,TN,16:9,129.94
Asus,ROG SWIFT PG348Q,34.0,3440 x 1440,100,5,IPS,21:9,
VIOTEK,GN24CW,24.0,1920 x 1080,144,3,VA,16:9,
Philips,276E9QDSB,27.0,1920 x 1080,75,4,IPS,16:9,149.99
Asus,VP278QGL,27.0,1920 x 1080,75,1,TN,16:9,169.99
AOC,E2470SWH,23.6,1920 x 1080,60,1,TN,16:9,294.00
Samsung,C34F791,34.0,3440 x 1440,100,4,VA,21:9,1920.05
Samsung,LC24FG73,23.5,1920 x 1080,144,1,VA,16:9,
MSI,Optix MAG271C,27.0,1920 x 1080,144,1,VA,16:9,
ViewSonic,XG2401,23.6,1920 x 1080,144,1,TN,16:9,
Asus,VE278H,27.0,1920 x 1080,,2,,16:9,159.00
LG,27GL63T-B,27.0,1920 x 1080,144,5,IPS,16:9,616.47
LG,49BL95C-W,49.0,5120 x 1440,60,5,IPS,32:9,1185.94
Pixio,PX277,27.0,2560 x 1440,144,4,IPS,16:9,
LG,32QK500-C,32.0,2560 x 1440,75,5,IPS,16:9,249.99
LG,24BK400H-B,24.0,1920 x 1080,75,1,TN,16:9,158.99
BenQ,EX3501R,35.0,3440 x 1440,100,4,VA,21:9,599.99
Acer,VG270U bmiipx,27.0,2560 x 1440,75,,IPS,16:9,234.98
Asus,TUF Gaming VG35VQ,35.0,3440 x 1440,100,,VA,21:9,576.11
AOC,G2460VQ6,24.0,1920 x 1080,75,1,TN,16:9,314.51
Gigabyte,AORUS KD25F,24.5,1920 x 1080,240,,TN,16:9,
Samsung,S24F350FH,23.5,1920 x 1080,60,4,PLS,16:9,
LG,27UD58-B,27.0,3840 x 2160,60,5,IPS,16:9,359.94
HP,24yh,23.8,1920 x 1080,60,5,,16:9,109.99
