brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
LG,34UC89G-B,34.0,2560 x 1080,166,4,IPS,21:9,
Philips,345B1C/00,34.0,3440 x 1440,100,5,VA,21:9,
Asus,MX34VQ,34.0,3440 x 1440,100,4,VA,21:9,659.99
Acer,Predator Z1,31.5,2560 x 1440,165,5,VA,16:9,
ViewSonic,VX3258-2KC-MHD,31.5,2560 x 1440,144,5,VA,16:9,
VIOTEK,GN32DB,32.0,2560 x 1440,144,4,VA,16:9,
VIOTEK,GN27DB,27.0,2560 x 1440,144,1,VA,16:9,
MSI,Optix MAG241CR,23.6,1920 x 1080,144,4,VA,16:9,
Asus,VA326H,31.5,1920 x 1080,144,4,VA,16:9,
VIOTEK,NB32CB,32.0,1920 x 1080,75,4,VA,16:9,
Acer,ED242QR wi,23.6,1920 x 1080,75,1,VA,16:9,266.98
LG,38UC99-W,37.5,3840 x 1600,75,4,IPS,12:5,1039.99
LG,34BK95C-W,34.0,3440 x 1440,75,1,IPS,21:9,599.99
Deco,Gear DGVIEW201OB,35.0,3440 x 1440,100,5,VA,21:9,399.99
ViewSonic,VX3258-PC-MHD,31.5,1920 x 1080,165,4,VA,16:9,
MSI,Optix MAG240VC,23.6,1920 x 1080,144,5,VA,16:9,
Samsung,CH711,26.9,2560 x 1440,60,3,VA,16:9,1512.00
Philips,328E1CA,31.5,3840 x 2160,60,3,VA,16:9,
Lenovo,Y44w-10,43.4,3840 x 1200,120,5,VA,16:5,949.99
Samsung,LC27FG70FQNXZA,27.0,1920 x 1080,144,1,VA,16:9,990.22
AOC,AG352UCG6,35.0,3440 x 1440,120,4,VA,21:9,
MSI,Optix MAG270VC,27.0,1920 x 1080,144,4,VA,16:9,
LG,34GK950G,34.0,3440 x 1440,120,1,IPS,21:9,
Philips,278E9QJAB,27.0,1920 x 1080,75,4,VA,16:9,
LG,38WK95C-W,37.5,3840 x 1600,60,4,IPS,12:5,1046.99
Cooler,Master GM27-CF,27.0,1920 x 1080,165,4,VA,16:9,
AOC,C4008VU8,40.0,3840 x 2160,60,5,VA,16:9,
Acer,XR382CQK bmijqphuzx,37.5,3840 x 1600,75,5,IPS,12:5,1064.03
VIOTEK,GN34CB,34.0,3440 x 1440,100,4,VA,21:9,
AOC,C3583FQ,35.0,2560 x 1080,160,4,VA,21:9,
Samsung,C22F390,22.0,1920 x 1080,60,4,VA,16:9,
Dell,U3417W,34.0,3440 x 1440,60,5,IPS,21:9,749.00
Kogan,KAMN27CQ1LA,27.0,2560 x 1440,144,5,VA,16:9,
HP,27,27.0,1920 x 1080,60,5,VA,16:9,
VIOTEK,NB32C,32.0,1920 x 1080,60,4,VA,16:9,
iiyama,G-Master GB3266QSU-B1,31.5,2560 x 1440,144,1,VA,16:9,
Samsung,CH711,32.0,2560 x 1440,60,4,VA,16:9,1696.77
Philips,322M7C/75,31.5,1920 x 1080,144,4,VA,16:9,
Philips,328E9FJAB,31.5,2560 x 1440,75,5,VA,16:9,
Titan,Army C34SW,34.0,3440 x 1440,100,4,VA,21:9,
Acer,Predator Z301CT,29.5,2560 x 1080,200,4,IPS,21:9,
Acer,XR342CK,34.0,3440 x 1440,75,4,VA,21:9,
Acer,ED322Q wmidx,31.5,1920 x 1080,60,4,IPS,16:9,
Acer,Predator XR341CK,34.0,3440 x 1440,75,4,VA,21:9,
Samsung,S24E510C,23.6,1920 x 1080,60,4,VA,16:9,420.48
LG,LC24RG50FQNXZA,23.5,1920 x 1080,144,4,VA,16:9,
Acer,ED323QUR widpx,31.5,2560 x 1440,75,7,VA,16:9,
Samsung,C32JG50,32.0,2560 x 1440,144,4,VA,16:9,
AOC,AG352UCG,35.0,3440 x 1440,100,4,VA,21:9,
Lenovo,Y27g,27.0,1920 x 1080,144,4,VA,16:9,562.23
Samsung,S27E591C,27.0,1920 x 1080,60,4,VA,16:9,
Acer,XZ350CU bmijphz,35.0,2560 x 1080,144,3,VA,21:9,
Monoprice,33821,32.0,2560 x 1440,144,7,TN,16:9,
Acer,XZ271U Abmiiphzx,27.0,2560 x 1440,144,5,VA,16:9,
Philips,328E9QJAB,31.5,1920 x 1080,75,5,VA,16:9,
Samsung,S34E790C,34.0,3440 x 1440,60,6,VA,21:9,
VIOTEK,GN32LD,31.5,2560 x 1440,144,4,VA,16:9,
Fox,Spirit PGM340,34.0,3440 x 1440,100,4,VA,21:9,
VIOTEK,GN32Q,32.0,2560 x 1440,144,5,VA,16:9,
Lenovo,Y27F,27.0,1920 x 1080,144,4,IPS,16:9,
LG,34UC87C,34.0,3440 x 1440,60,4,VA,21:9,
Monoprice,131005,35.0,3440 x 1440,100,5,VA,21:9,
VIOTEK,GN27C2,27.0,1920 x 1080,144,4,VA,16:9,
VIOTEK,GN35DR,35.0,2560 x 1080,144,4,VA,21:9,
Philips,349X7FJEW/27,34.0,3440 x 1440,60,5,IPS,21:9,
Acer,UM.CC0AA.001,34.0,3440 x 1440,75,8,PVA,21:9,709.94
Pixio,PXC32,31.5,2560 x 1440,144,5,VA,16:9,
Acer,XZ271,27.0,1920 x 1080,144,8,IPS,16:9,
Philips,BDM3490UC/27,34.1,3440 x 1440,60,5,VA,21:9,
Acer,Z271,27.0,1920 x 1080,144,8,VA,16:9,
VIOTEK,GN32C,32.0,1920 x 1080,144,5,IPS,16:9,
HP,EliteDisplay S340C,34.0,3440 x 1440,60,5,IPS,21:9,798.95
Dell,P3418HW,34.0,2560 x 1080,60,4,VA,21:9,549.99
HP,ENVY 34c,34.0,3440 x 1440,60,5,IPS,21:9,
LG,34UC97-S,34.0,3440 x 1440,60,1,VA,21:9,
Kogan,KAMN49F14UHLC,49.0,3840 x 1080,144,4,IPS,32:9,
LG,29UC88-B,29.0,2560 x 1080,75,4,VA,21:9,
VIOTEK,GN30CB,30.0,2560 x 1080,75,14,VA,21:9,
NEC,EX341R-BK,34.0,3440 x 1440,60,8,IPS,21:9,829.95
LG,29UC97C,29.0,2560 x 1080,60,4,VA,21:9,
Samsung,S27E650C,27.0,1920 x 1080,60,8,VA,16:9,
NEC,EX341R-BK-SV,34.0,3440 x 1440,60,3,VA,21:9,890.50
QNIX,QX3228R,32.0,1920 x 1080,144,4,VA,16:9,
