brand,model,capacity,price_per_gb,type,cache,form_factor,interface,price
Team,CX2,1 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,WDBlue,2 TB,$0.090,SSD,,"2.5""",SATA 6 Gb/s,179.99
Sabrent,Rocket 4.0,500 GB,$0.240,SSD,,M.2-2280,M.2 (M),119.98
SK,hynix Gold P31,1 TB,$0.135,SSD,,M.2-2280,M.2 (M),134.99
Crucial,BX500,1 TB,$0.100,SSD,,"2.5""",SATA 6 Gb/s,99.99
Transcend,110S,128 GB,$0.219,SSD,,M.2-2280,M.2 (M),28.09
Seagate,IronWolf NAS,8 TB,$0.025,7200RPM,256,"3.5""",SATA 6 Gb/s,197.99
Toshiba,P300,1 TB,$0.053,7200RPM,64,"3.5""",SATA 6 Gb/s,52.70
Mushkin,Enhanced Helix-L,1 TB,$0.090,SSD,,M.2-2280,M.2 (M),89.99
Samsung,860 Pro,4 TB,$0.177,SSD,4096,"2.5""",SATA 6 Gb/s,709.99
Seagate,EXOS Enterprise,16 TB,$0.021,7200RPM,256,"3.5""",SATA 6 Gb/s,343.99
Sabrent,Rocket,1 TB,$0.130,SSD,,M.2-2280,M.2 (M),129.97
ADATA,Swordfish,2 TB,$0.100,SSD,,M.2-2280,M.2 (M),199.99
Seagate,FireCuda 520,1 TB,$0.180,SSD,,M.2-2280,M.2 (M),179.99
Sabrent,Rocket Q4,4 TB,$0.187,SSD,,M.2-2280,M.2 (M),749.99
Western Digital,Green,1 TB,$0.080,SSD,,"2.5""",SATA 6 Gb/s,79.98
Samsung,970 Pro,1 TB,$0.349,SSD,1024,M.2-2280,M.2 (M),348.88
Team,T-Force VULCAN,500 GB,$0.110,SSD,,"2.5""",SATA 6 Gb/s,54.99
Gigabyte,AORUS NVMe Gen4,2 TB,$0.185,SSD,,M.2-2280,M.2 (M),369.99
Crucial,BX500,480 GB,$0.104,SSD,,"2.5""",SATA 6 Gb/s,49.99
Western Digital,RE4,1 TB,$0.039,7200RPM,64,"3.5""",SATA 3 Gb/s,38.95
Corsair,MP400,8 TB,,SSD,,M.2-2280,M.2 (M),
Kingston,A400,240 GB,$0.142,SSD,,M.2-2280,M.2 (B+M),33.99
Inland,Premium,1 TB,$0.118,SSD,,M.2-2280,M.2 (M),117.99
Kingston,A400,120 GB,$0.275,SSD,,M.2-2280,M.2 (B+M),32.99
Inland,Premium,512 GB,$0.125,SSD,,M.2-2280,M.2 (M),63.99
Samsung,850 EVO-Series,500 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,BarraCuda Pro,10 TB,$0.035,7200RPM,256,"3.5""",SATA 6 Gb/s,350.00
Samsung,860 QVO,1 TB,$0.130,SSD,,"2.5""",SATA 6 Gb/s,129.99
Silicon Power,A55,512 GB,$0.096,SSD,,"2.5""",SATA 6 Gb/s,48.99
ADATA,SU635,480 GB,$0.098,SSD,,"2.5""",SATA 6 Gb/s,46.99
Team,T-Force Vulcan G,512 GB,$0.098,SSD,,"2.5""",SATA 6 Gb/s,49.99
Western Digital,Black,6 TB,$0.033,7200RPM,256,"3.5""",SATA 6 Gb/s,195.99
Silicon Power,SU128GBSS3A55S25AE,128 GB,$0.148,SSD,,"2.5""",SATA 6 Gb/s,18.99
SanDisk,SSD PLUS,240 GB,$0.133,SSD,,"2.5""",SATA 6 Gb/s,31.99
Samsung,860 Evo,250 GB,$0.200,SSD,512,M.2-2280,M.2 (B+M),49.99
Seagate,Desktop HDD,4 TB,$0.019,5900RPM,64,"3.5""",SATA 6 Gb/s,74.98
Samsung,970 Evo,2 TB,$0.400,SSD,2048,M.2-2280,M.2 (M),799.99
Corsair,MP510,480 GB,$0.142,SSD,,M.2-2280,M.2 (M),67.98
Western Digital,Green,240 GB,$0.117,SSD,,"2.5""",SATA 6 Gb/s,27.99
ADATA,XPG SX8200 Pro,256 GB,$0.156,SSD,,M.2-2280,M.2 (M),39.99
Crucial,P5,1 TB,$0.120,SSD,,M.2-2280,M.2 (M),119.99
Toshiba,X300,4 TB,$0.026,7200RPM,128,"3.5""",SATA 6 Gb/s,104.99
Western Digital,Blue,1 TB,$0.047,5400RPM,64,"3.5""",SATA 6 Gb/s,46.66
Team,MP33,1 TB,$0.090,SSD,,M.2-2280,M.2 (M),89.99
Gigabyte,AORUS NVMe Gen4,2 TB,$0.175,SSD,,M.2-2280,M.2 (M),349.99
SanDisk,SSD Plus,2 TB,$0.080,SSD,,"2.5""",SATA 6 Gb/s,159.99
Addlink,S70,1 TB,$0.128,SSD,,M.2-2280,M.2 (M),127.99
Inland,Professional,120 GB,$0.166,SSD,,"2.5""",SATA 6 Gb/s,19.98
Silicon Power,A80,512 GB,$0.117,SSD,,M.2-2280,M.2 (M),59.99
Western Digital,SN750,2 TB,$0.119,SSD,,M.2-2280,M.2 (M),237.99
Sabrent,Rocket,256 GB,$0.176,SSD,,M.2-2280,M.2 (M),44.99
Samsung,970 Pro,512 GB,$0.332,SSD,512,M.2-2280,M.2 (M),169.99
Corsair,MP510,240 GB,$0.208,SSD,,M.2-2280,M.2 (M),49.99
ADATA,SU655,120 GB,$0.166,SSD,,"2.5""",SATA 6 Gb/s,19.98
Seagate,FireCuda 520,500 GB,$0.200,SSD,,M.2-2280,M.2 (M),99.99
Intel,DC P3608,4 TB,,SSD,,PCI-E,PCIe x8,
Sabrent,Rocket Q,2 TB,$0.125,SSD,,M.2-2280,M.2 (M),249.99
Intel,660p,512 GB,$0.119,SSD,,M.2-2280,M.2 (M),60.99
Western Digital,Blue,3 TB,$0.022,5400RPM,64,"3.5""",SATA 6 Gb/s,65.99
Western Digital,SN750,250 GB,$0.216,SSD,,M.2-2280,M.2 (M),54.00
Western Digital,CaviarBlue,500 GB,$0.078,7200RPM,16,"3.5""",SATA 6 Gb/s,38.99
Patriot,Burst,120 GB,$0.166,SSD,,"2.5""",SATA 6 Gb/s,19.98
Crucial,P1,2 TB,$0.099,SSD,,M.2-2280,M.2 (M),199.00
Sabrent,Rocket,512 GB,$0.137,SSD,,M.2-2280,M.2 (M),69.98
Silicon Power,A55,1 TB,$0.090,SSD,,"2.5""",SATA 6 Gb/s,89.99
Western Digital,BlackNVMe,250 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,EXOS Enterprise X18,18 TB,$0.028,7200RPM,,"3.5""",SATA 6 Gb/s,495.00
Samsung,870 QVO,4 TB,$0.105,SSD,,"2.5""",SATA 6 Gb/s,419.99
Intel,Optane 905P,1.5 TB,$1.442,SSD,,PCI-E,PCIe x4,2162.81
Toshiba,MK3276GSX,320 GB,$0.056,5400RPM,8,"2.5""",SATA 3 Gb/s,17.98
TCSunBow,X3,120 GB,$0.150,SSD,,"2.5""",SATA 6 Gb/s,17.98
Western Digital,Blue,250 GB,$0.180,SSD,,"2.5""",SATA 6 Gb/s,44.99
ADATA,XPG SPECTRIX S40G RGB,512 GB,$0.117,SSD,,M.2-2280,M.2 (M),59.99
Seagate,BarraCuda 120,1 TB,$0.095,SSD,,"2.5""",SATA 6 Gb/s,94.99
Gigabyte,AORUS,1 TB,$0.249,SSD,,PCI-E,PCIe x4,248.99
HP,EX920,1 TB,$0.120,SSD,1024,M.2-2280,M.2 (M),119.99
Western Digital,Green,120 GB,$0.167,SSD,,"2.5""",SATA 6 Gb/s,19.99
ADATA,Ultimate SU800,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,Swordfish,500 GB,$0.110,SSD,,M.2-2280,M.2 (M),54.99
ADATA,XPG SPECTRIX S40G RGB,1 TB,$0.110,SSD,,M.2-2280,M.2 (M),109.99
Gigabyte,GP-ASACNE6800TTTDA,8 TB,,SSD,,PCI-E,PCIe x16,
Western Digital,Red,4 TB,$0.020,5400RPM,256,"3.5""",SATA 6 Gb/s,79.99
Corsair,MP400,1 TB,$0.115,SSD,,M.2-2280,M.2 (M),114.99
Crucial,MX500,1 TB,$0.105,SSD,,M.2-2280,M.2 (B+M),104.99
Team,CX2,512 GB,$0.090,SSD,,"2.5""",SATA 6 Gb/s,45.99
PNY,CS900,500 GB,$0.110,SSD,,"2.5""",SATA 6 Gb/s,54.99
Team,MS30,128 GB,$0.172,SSD,,M.2-2280,M.2 (B+M),21.99
Western Digital,BLACKSERIES,1 TB,$0.063,7200RPM,64,"3.5""",SATA 6 Gb/s,62.99
Toshiba,P300,3 TB,$0.035,7200RPM,64,"3.5""",SATA 6 Gb/s,104.99
Corsair,MP510,4 TB,$0.186,SSD,,M.2-2280,M.2 (M),744.99
Seagate,IronWolf NAS,6 TB,$0.027,7200RPM,256,"3.5""",SATA 6 Gb/s,159.99
Crucial,BX500,120 GB,$0.208,SSD,,"2.5""",SATA 6 Gb/s,24.99
Crucial,P2,250 GB,$0.200,SSD,,M.2-2280,M.2 (M),49.99
ADATA,Swordfish,1 TB,$0.095,SSD,,M.2-2280,M.2 (M),94.99
Seagate,BarraCuda 120,500 GB,$0.120,SSD,,"2.5""",SATA 6 Gb/s,59.99
ADATA,Ultimate SU800,512 GB,$0.103,SSD,,"2.5""",SATA 6 Gb/s,52.99
Seagate,FireCuda,2 TB,$0.087,Hybrid,,"2.5""",SATA 6 Gb/s,174.95
Crucial,MX500,250 GB,$0.140,SSD,,M.2-2280,M.2 (B+M),34.99
Team,GX1,480 GB,$0.094,SSD,,"2.5""",SATA 6 Gb/s,44.99
PNY,CS900,120 GB,$0.166,SSD,,"2.5""",SATA 6 Gb/s,19.98
Crucial,BX500,2 TB,$0.095,SSD,,"2.5""",SATA 6 Gb/s,189.99
Patriot,VPN100,256 GB,$0.148,SSD,512,M.2-2280,M.2 (M),37.99
Sabrent,Rocket,2 TB,$0.125,SSD,,M.2-2280,M.2 (M),249.98
Western Digital,Blue,500 GB,$0.074,7200RPM,32,"3.5""",SATA 6 Gb/s,36.99
Seagate,Barracuda Compute,3 TB,$0.029,5400RPM,256,"3.5""",SATA 6 Gb/s,85.99
Western Digital,SN750,1 TB,$0.150,SSD,,M.2-2280,M.2 (M),149.99
Samsung,860 Evo,1 TB,$0.141,SSD,1024,M.2-2280,M.2 (B+M),140.99
Samsung,970 Evo,250 GB,$0.560,SSD,512,M.2-2280,M.2 (M),139.99
PNY,CS900,1 TB,$0.088,SSD,,"2.5""",SATA 6 Gb/s,87.99
OCZ,Z-Drive R2 P88,1 TB,,SSD,,PCI-E,PCIe x8,
Seagate,SuperSpeed HDD,1 TB,,Hybrid,64,"2.5""",SATA 6 Gb/s,
Team,T-Force Vulcan G,1 TB,$0.084,SSD,,"2.5""",SATA 6 Gb/s,83.99
Seagate,EXOS Enterprise,14 TB,$0.021,7200RPM,256,"3.5""",SATA 6 Gb/s,288.55
Seagate,IronWolf NAS,4 TB,$0.024,5900RPM,64,"3.5""",SATA 6 Gb/s,94.99
Angelbird,WRK XT,8 TB,$0.674,SSD,,"2.5""",SATA 6 Gb/s,5394.95
Crucial,P2,2 TB,$0.112,SSD,,M.2-2280,M.2 (M),224.99
Samsung,850 EVO,4 TB,$0.300,SSD,4096,"2.5""",SATA 6 Gb/s,1199.00
Silicon Power,A80,1 TB,$0.115,SSD,,M.2-2280,M.2 (M),114.99
Team,T-FORCE Delta Max RGB,1 TB,$0.120,SSD,,"2.5""",SATA 6 Gb/s,119.99
Samsung,860 Evo,500 GB,$0.178,SSD,512,M.2-2280,M.2 (B+M),88.99
Team,T-Force VULCAN,1 TB,$0.099,SSD,,"2.5""",SATA 6 Gb/s,98.99
Team,L3 EVO,240 GB,$0.104,SSD,,"2.5""",SATA 6 Gb/s,24.99
ADATA,Ultimate SU800,1 TB,$0.095,SSD,,"2.5""",SATA 6 Gb/s,94.99
Western Digital,Black,1 TB,$0.068,7200RPM,64,"2.5""",SATA 6 Gb/s,68.00
SK,hynix Gold S31,500 GB,$0.091,SSD,,"2.5""",SATA 6 Gb/s,45.59
SanDisk,SSD PLUS,480 GB,$0.115,SSD,,"2.5""",SATA 6 Gb/s,54.99
ADATA,SU630,240 GB,$0.129,SSD,,"2.5""",SATA 6 Gb/s,30.98
Western Digital,Blue,2 TB,$0.031,5400RPM,64,"3.5""",SATA 6 Gb/s,61.99
Seagate,BarraCuda 510,1 TB,$0.140,SSD,,M.2-2280,M.2 (M),139.99
Seagate,ST4000NC001,4 TB,$0.016,5900RPM,64,"3.5""",SATA 6 Gb/s,65.98
Intel,DC P3608,3.2 TB,,SSD,,PCI-E,PCIe x8,
Crucial,P5,500 GB,$0.160,SSD,,M.2-2280,M.2 (M),79.95
ADATA,XPG SX6000 Pro,512 GB,$0.098,SSD,,M.2-2280,M.2 (M),49.99
Western Digital,Green,480 GB,$0.125,SSD,,M.2-2280,M.2 (B+M),59.99
Western Digital,Green,120 GB,$0.317,SSD,,M.2-2280,M.2 (B+M),37.99
ADATA,Swordfish,250 GB,$0.152,SSD,,M.2-2280,M.2 (M),37.99
Western Digital,Blue,6 TB,$0.020,5400RPM,256,"3.5""",SATA 6 Gb/s,118.99
Kingston,A400,1.92 TB,$0.094,SSD,,"2.5""",SATA 6 Gb/s,179.99
ADATA,XPG GAMMIX S11 Pro,1 TB,$0.130,SSD,,M.2-2280,M.2 (M),129.99
Seagate,BarraCuda,2 TB,$0.037,5400RPM,128,"2.5""",SATA 6 Gb/s,73.99
Western Digital,CaviarBlue,320 GB,$0.062,7200RPM,8,"3.5""",PATA 100,19.98
SK,hynix Gold P31,500 GB,$0.150,SSD,,M.2-2280,M.2 (M),74.98
Samsung,960 EVO,250 GB,$0.460,SSD,512,M.2-2280,M.2 (M),114.99
Toshiba,P300,2 TB,$0.041,7200RPM,64,"3.5""",SATA 6 Gb/s,81.99
ADATA,Ultimate SU800,256 GB,$0.148,SSD,,"2.5""",SATA 6 Gb/s,37.99
Corsair,MP400,4 TB,$0.166,SSD,,M.2-2280,M.2 (M),662.00
ADATA,XPG GAMMIX S5,256 GB,$0.156,SSD,,M.2-2280,M.2 (M),39.99
Seagate,BarraCuda,1 TB,$0.045,5400RPM,128,"2.5""",SATA 6 Gb/s,44.99
Corsair,MP510,960 GB,$0.130,SSD,,M.2-2280,M.2 (M),124.99
Sabrent,Rocket Q4,1 TB,$0.161,SSD,,M.2-2280,M.2 (M),161.01
Seagate,BarraCuda 510,500 GB,$0.140,SSD,,M.2-2280,M.2 (M),69.98
PNY,XLR8 CS3030,1 TB,$0.125,SSD,,M.2-2280,M.2 (M),124.99
Seagate,ST500VM000,500 GB,$0.049,5900RPM,64,"3.5""",SATA 6 Gb/s,24.62
Western Digital,SN750,500 GB,$0.153,SSD,,M.2-2280,M.2 (M),76.48
Samsung,860 Evo,2 TB,$0.140,SSD,2048,M.2-2280,M.2 (B+M),279.99
Seagate,IronWolf NAS,10 TB,$0.024,7200RPM,256,"3.5""",SATA 6 Gb/s,239.99
Gigabyte,GP-GSTFS31120GNTD,120 GB,$0.231,SSD,,"2.5""",SATA 6 Gb/s,27.72
Western Digital,Blue,4 TB,$0.112,SSD,,"2.5""",SATA 6 Gb/s,449.95
ADATA,XPG SX6000 Pro,1 TB,$0.090,SSD,,M.2-2280,M.2 (M),89.99
Seagate,Nytro Enterprise,15.36 TB,$0.358,SSD,,"2.5""",SAS 12 Gb/s,5495.00
Toshiba,DT01ACA100,1 TB,,7200RPM,32,"3.5""",SATA 6 Gb/s,
TCSunBow,X3,1 TB,$0.083,SSD,,"2.5""",SATA 6 Gb/s,82.99
Seagate,BarraCuda Pro,6 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
SK,hynix Gold S31,1 TB,$0.089,SSD,,"2.5""",SATA 6 Gb/s,89.24
Hitachi,Deskstar NAS,6 TB,$0.258,7200RPM,128,"3.5""",SATA 6 Gb/s,1549.99
HP,EX950,2 TB,$0.102,SSD,,M.2-2280,M.2 (M),204.99
Western Digital,BlackNVMe,1 TB,$0.235,SSD,,M.2-2280,M.2 (M),234.99
Team,T-FORCE DELTA RGB,1 TB,$0.113,SSD,,"2.5""",SATA 6 Gb/s,112.99
Inland,349365,240 GB,$0.117,SSD,,"2.5""",SATA 6 Gb/s,27.99
Western Digital,Red,8 TB,$0.022,5400RPM,256,"3.5""",SATA 6 Gb/s,174.99
Inland,480 GB SSD,480 GB,$0.102,SSD,,"2.5""",SATA 6 Gb/s,48.99
Sabrent,Rocket,4 TB,$0.187,SSD,,M.2-2280,M.2 (M),749.99
SanDisk,Ultra 3D,1 TB,$0.110,SSD,,"2.5""",SATA 6 Gb/s,109.99
SanDisk,Ultra 3D,500 GB,$0.120,SSD,,"2.5""",SATA 6 Gb/s,59.99
Team,CX2,2 TB,$0.084,SSD,,"2.5""",SATA 6 Gb/s,168.99
Samsung,860 Pro,2 TB,$0.190,SSD,2048,"2.5""",SATA 6 Gb/s,379.99
Team,GX1,960 GB,$0.085,SSD,,"2.5""",SATA 6 Gb/s,81.99
HP,EX920,512 GB,$0.139,SSD,512,M.2-2280,M.2 (M),71.23
Samsung,860 Pro,256 GB,$0.293,SSD,512,"2.5""",SATA 6 Gb/s,74.98
Gigabyte,AORUS,500 GB,$0.220,SSD,512,M.2-2280,M.2 (M),109.99
Western Digital,Green,480 GB,$0.098,SSD,,"2.5""",SATA 6 Gb/s,46.99
Intel,660p,1 TB,$0.140,SSD,,M.2-2280,M.2 (M),139.91
Seagate,Barracuda Compute,1 TB,$0.047,5400RPM,64,"3.5""",SATA 6 Gb/s,47.49
Samsung,860 Pro,1 TB,$0.200,SSD,1024,"2.5""",SATA 6 Gb/s,199.99
Toshiba,DT01ACA200,2 TB,$0.036,7200RPM,64,"3.5""",SATA 6 Gb/s,71.33
Sabrent,Rocket Q4,2 TB,$0.160,SSD,,M.2-2280,M.2 (M),319.99
Seagate,BarraCuda,5 TB,$0.038,5400RPM,128,"2.5""",SATA 6 Gb/s,188.00
Team,MP34,1 TB,$0.107,SSD,,M.2-2280,M.2 (M),106.99
Crucial,P5,2 TB,$0.122,SSD,,M.2-2280,M.2 (M),244.99
Seagate,FireCuda,2 TB,,Hybrid,64,"3.5""",SATA 6 Gb/s,
PNY,CS900,250 GB,$0.116,SSD,,"2.5""",SATA 6 Gb/s,28.98
ADATA,SU760,256 GB,$0.117,SSD,,"2.5""",SATA 6 Gb/s,29.99
HP,Y6P08AA,2 TB,$1.221,SSD,,"2.5""",SATA 6 Gb/s,2442.98
Sabrent,Rocket Q,500 GB,$0.130,SSD,,M.2-2280,M.2 (M),64.98
