brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
Samsung,LC32F391FWNXZA,32.0,1920 x 1080,60,4,VA,16:9,249.99
Asus,TUF Gaming VG35VQ,35.0,3440 x 1440,100,5,VA,21:9,579.00
iiyama,G-MASTER RED EAGLE,27.0,2560 x 1440,144,3,TN,16:9,464.00
Asus,TUF Gaming VG328H1B,31.5,1920 x 1080,165,3,VA,16:9,269.99
MSI,Optix G32CQ4,31.5,2560 x 1440,165,1,VA,16:9,359.99
Acer,XB253Q Gpbmiiprzx,24.5,1920 x 1080,144,5,IPS,16:9,256.08
LG,34UM69G-B,34.0,2560 x 1080,75,1,IPS,21:9,326.99
HP,Omen 27i,27.0,2560 x 1440,165,1,IPS,16:9,409.99
VIOTEK,GNV29CB,29.0,2560 x 1080,120,1,VA,21:9,
AOC,G2460VQ6,24.0,1920 x 1080,75,1,TN,16:9,195.00
Acer,Nitro XV273 Xbmiiprzx,27.0,1920 x 1080,240,5,IPS,16:9,499.99
Asus,ProArt PA32UCX,32.0,3840 x 2160,60,1,IPS,16:9,
BenQ,ZOWIE XL2746S,27.0,1920 x 1080,240,4,TN,16:9,649.00
MSI,Optix MAG272C,27.0,1920 x 1080,165,4,VA,16:9,651.86
BenQ,EX3501R,35.0,3440 x 1440,100,1,VA,21:9,649.99
Samsung,C34F791,34.0,3440 x 1440,100,5,VA,21:9,1920.05
Acer,KG271 Cbmidpx,27.0,1920 x 1080,144,6,TN,16:9,325.80
AOC,24V2Q,23.8,1920 x 1080,75,4,IPS,16:9,280.64
Sceptre,E325W-2560AD,32.0,2560 x 1440,85,1,VA,16:9,249.97
Asus,VA24DQ,23.8,1920 x 1080,75,5,IPS,16:9,119.00
Acer,HA270 Abi,27.0,1920 x 1080,75,5,IPS,16:9,159.99
Acer,KG251Q bmiix,24.5,1920 x 1080,75,1,TN,16:9,198.99
LG,32QK500-C,32.0,2560 x 1440,75,4,IPS,16:9,
LG,27UK850-W,27.0,3840 x 2160,60,1,IPS,16:9,449.99
MSI,Optix MAG271C,27.0,1920 x 1080,144,4,VA,16:9,
Pixio,PX7P,27.0,2560 x 1440,165,5,IPS,16:9,404.98
AOC,G2260VWQ6,21.5,1920 x 1080,75,5,TN,16:9,
Samsung,U28R550,28.0,3840 x 2160,60,4,IPS,16:9,336.20
LG,49BL95C-W,49.0,5120 x 1440,60,1,IPS,32:9,1266.06
ViewSonic,VX2758-C-MH,27.0,1920 x 1080,144,1,VA,16:9,239.94
Asus,VP348QGL,34.0,3440 x 1440,75,1,VA,21:9,359.99
BenQ,ZOWIE XL2731,27.0,1920 x 1080,144,5,TN,16:9,269.00
Acer,XF270HU Cbmiiprx,27.0,2560 x 1440,144,1,TN,16:9,520.00
Asus,VP247QG,23.6,1920 x 1080,75,5,TN,16:9,138.99
VIOTEK,GN27DW,27.0,2560 x 1440,144,4,VA,16:9,
AOC,U2879VF,28.0,3840 x 2160,60,4,TN,16:9,414.67
HP,2XN60AA#ABA,23.8,1920 x 1080,75,4,IPS,16:9,134.99
Lenovo,66A1GCCBUS,34.0,3440 x 1440,144,5,VA,21:9,449.99
Acer,ED7,34.0,3440 x 1440,100,1,VA,21:9,499.99
VIOTEK,GN34CW,34.0,3440 x 1440,100,1,VA,21:9,
Acer,SB230 Bbix,23.0,1920 x 1080,75,1,IPS,16:9,109.99
Philips,246E9QJAB/00,23.8,1920 x 1080,75,4,IPS,16:9,
Westinghouse,WC34DX9019,34.0,3440 x 1440,100,1,VA,21:9,337.98
Asus,Designo Curve MX38VC,38.0,3840 x 1600,75,5,IPS,12:5,979.00
Acer,Nitro VG252Q P,24.5,1920 x 1080,144,1,IPS,16:9,
Samsung,C27FG73,27.0,1920 x 1080,144,1,VA,16:9,458.80
Acer,KG271U bmiippx,27.0,2560 x 1440,75,1,TN,16:9,249.99
MSI,Optix MPG27CQ,27.0,2560 x 1440,144,2,VA,16:9,
Philips,276E9QDSB,27.0,1920 x 1080,75,1,IPS,16:9,146.00
iiyama,G-MASTER BLACK HAWK,27.0,1920 x 1080,75,1,TN,16:9,282.26
LG,34WK650-W,34.0,2560 x 1080,60,4,IPS,21:9,396.99
Acer,KG241 Pbmidpx,24.0,1920 x 1080,144,2,TN,16:9,
ViewSonic,XG2401,23.6,1920 x 1080,144,4,TN,16:9,
MSI,Optix MAG27C,27.0,1920 x 1080,144,5,VA,16:9,
Dell,D2719HGF,27.0,1920 x 1080,144,4,TN,16:9,
Asus,MG248Q,24.0,1920 x 1080,144,1,TN,16:9,
AOPEN,32HC1QUR Pbidpx,31.5,2560 x 1440,144,4,VA,16:9,299.99
Asus,MG278Q,27.0,2560 x 1440,144,4,TN,16:9,899.00
Deco,Gear VIEW101,35.0,2560 x 1080,144,5,VA,21:9,319.95
ViewSonic,VX2457-MHD,23.6,1920 x 1080,75,4,TN,16:9,139.99
Asus,ROG STRIX XG27VQ,27.0,1920 x 1080,144,8,VA,16:9,
LG,27UL650-W,27.0,3840 x 2160,60,5,IPS,16:9,438.54
Samsung,C27F591,27.0,1920 x 1080,60,1,VA,16:9,249.99
Acer,KG251QF,24.5,1920 x 1080,144,1,TN,16:9,
Samsung,LS27F354FHNXZA,27.0,1920 x 1080,60,4,PLS,16:9,169.99
Acer,VW237Q,22.5,1920 x 1200,60,4,IPS,16:10,116.07
LG,32UL950-W,32.0,3840 x 2160,60,1,IPS,16:9,1279.99
BenQ,EW3270U,31.5,3840 x 2160,60,1,VA,16:9,449.99
VIOTEK,GNV34CB,34.0,2560 x 1080,100,8,VA,21:9,299.99
LG,27UL550-W,27.0,3840 x 2160,60,5,IPS,16:9,376.99
Acer,CB282K smiiprx,28.0,3840 x 2160,60,5,IPS,16:9,319.99
Acer,Predator CG437K Pbmiiippuzx,43.0,3840 x 2160,120,2,VA,16:9,1499.99
Acer,VG270 bmiix,27.0,1920 x 1080,75,1,IPS,16:9,175.00
AOC,AG251FZ,24.5,1920 x 1080,240,5,TN,16:9,798.48
Acer,KG271B,27.0,1920 x 1080,240,1,TN,16:9,
Acer,ET322QU,31.5,2560 x 1440,75,5,IPS,16:9,274.97
Samsung,LU32J590UQUXEN,32.0,3840 x 2160,60,5,VA,16:9,455.00
Asus,VP248QGL,24.0,1920 x 1080,75,1,TN,16:9,149.99
MSI,Optix MAG322CQRV,31.5,2560 x 1440,144,4,VA,16:9,
VIOTEK,SUW49DA,49.0,5120 x 1440,120,1,VA,32:9,979.99
Acer,XZ242Q Sbmiiphx,23.6,1920 x 1080,165,5,VA,16:9,199.99
LG,32UN650-W,31.5,3840 x 2160,60,1,IPS,16:9,496.99
BenQ,EW2780,27.0,1920 x 1080,60,5,IPS,16:9,179.99
Monoprice,127772,32.0,3840 x 2160,60,4,IPS,16:9,399.99
Acer,XZ321QU bmijpphzx,31.5,2560 x 1440,144,5,VA,16:9,650.00
LG,22MP68VQ-P,21.5,1920 x 1080,60,2,IPS,16:9,
Acer,CB272 bmiprx,27.0,1920 x 1080,75,1,IPS,16:9,214.94
ViewSonic,XG2530,25.0,1920 x 1080,240,4,TN,16:9,349.99
LG,34UC79G-B,34.0,2560 x 1080,144,5,IPS,21:9,1617.23
Asus,ProArt PA34VC,34.0,3440 x 1440,100,4,IPS,21:9,953.98
MSI,Optix MAG24C,23.6,1920 x 1080,144,4,VA,16:9,
Dell,SE2419HR,23.8,1920 x 1080,75,5,IPS,16:9,149.99
MSI,Optix MAG272QR,27.0,2560 x 1440,165,4,VA,16:9,
LG,29UM69G-B,29.0,2560 x 1080,75,4,IPS,21:9,266.38
Acer,ED242QR Abidpx,23.6,1920 x 1080,144,4,VA,16:9,245.43
Acer,KG221Q,21.5,1920 x 1080,75,1,TN,16:9,
LG,32UK550-B,31.5,3840 x 2160,60,4,VA,16:9,396.99
Acer,Nitro VG270K,27.0,3840 x 2160,60,4,IPS,16:9,
Acer,VG240Y Sbmiipx,23.8,1920 x 1080,165,2,IPS,16:9,
Acer,XF251Q bmiirx,24.5,1920 x 1080,75,1,TN,16:9,219.99
HP,22fw,21.5,1920 x 1080,60,5,IPS,16:9,
VIOTEK,GN27D,27.0,2560 x 1440,144,5,VA,16:9,
Samsung,CF591,27.0,1920 x 1080,60,4,VA,16:9,223.42
Dell,SE2717H,27.0,1920 x 1080,75,6,IPS,16:9,264.02
Asus,ROG Strix XG35VQ,35.0,3440 x 1440,100,4,VA,21:9,
BenQ,EW2480,23.8,1920 x 1080,75,5,IPS,16:9,159.99
Lenovo,Y25F-10,24.5,1920 x 1080,144,5,TN,16:9,398.16
Monoprice,Zero-G,27.0,2560 x 1440,144,4,TN,16:9,
LG,27UD68-P,27.0,3840 x 2160,60,3,IPS,16:9,429.99
Acer,B247Y bmiprx,23.8,1920 x 1080,75,1,IPS,16:9,149.99
ViewSonic,Elite XG350R-C,35.0,3440 x 1440,100,4,VA,21:9,669.99
MSI,Optix MPG341CQRV,34.0,3440 x 1440,120,5,VA,21:9,772.99
Samsung,890 LC34H890WGNXGO,34.0,3440 x 1440,100,1,VA,21:9,593.21
Philips,346B1C,34.0,3440 x 1440,100,4,VA,21:9,473.90
ViewSonic,VX3211-4K-MHD,31.5,3840 x 2160,60,4,VA,16:9,404.98
Acer,VG271 Pbmiipx,27.0,1920 x 1080,144,4,IPS,16:9,299.99
Asus,MG279Q,27.0,2560 x 1440,144,6,IPS,16:9,
Acer,B227Q bmipr,21.5,1920 x 1080,75,4,IPS,16:9,142.52
Philips,275E1S/00,27.0,2560 x 1440,75,6,IPS,16:9,
Sceptre,C345W-2560UN,34.0,2560 x 1080,100,5,VA,21:9,343.09
Pixio,PX275h,27.0,2560 x 1440,95,1,IPS,16:9,309.94
Pixio,PX277-N,27.0,2560 x 1440,144,1,IPS,16:9,
MSI,Optix MAG322CR,31.5,1920 x 1080,180,5,VA,16:9,309.99
LG,27UL850-W,27.0,3840 x 2160,60,4,IPS,16:9,446.99
Acer,XZ271U bmijpphzx,27.0,2560 x 1440,144,5,VA,16:9,449.00
Acer,Nitro VG240YU,23.8,2560 x 1440,75,4,IPS,16:9,
LG,38CB99-W,38.0,3840 x 1600,75,1,IPS,12:5,3320.08
Acer,NITRO QG221Q bii,21.5,1920 x 1080,75,1,VA,16:9,
iiyama,XUB3493WQSU-B1,34.0,3440 x 1440,75,4,IPS,21:9,530.17
LG,34BL650-B,34.0,2560 x 1080,75,1,IPS,21:9,345.83
Samsung,LU28R550UQUXEN,28.0,3840 x 2160,60,5,IPS,16:9,
Samsung,LC24FG70FQNXZA,24.0,1920 x 1080,144,5,VA,16:9,694.92
MSI,Optix MAG271R,27.0,1920 x 1080,165,1,VA,16:9,
Nixeus,NX-EDG27S v2,27.0,2560 x 1440,144,5,AHVA,16:9,324.99
ViewSonic,XG240R,24.0,1920 x 1080,144,1,TN,16:9,259.99
LG,34CB99-W,34.0,3440 x 1440,60,5,IPS,21:9,699.00
AOC,22V2H,21.5,1920 x 1080,75,1,IPS,16:9,
Asus,MG28UQ,28.0,3840 x 2160,60,4,TN,16:9,
HP,OMEN,32.0,2560 x 1440,75,5,VA,16:9,439.94
AOC,AG273QCX,27.0,2560 x 1440,144,1,VA,16:9,
LG,29WL50S-B,29.0,2560 x 1080,75,4,IPS,21:9,
Samsung,U28H750,27.9,3840 x 2160,60,4,TN,16:9,
Acer,XF270HU,27.0,2560 x 1440,144,4,IPS,16:9,
LG,29UM59-P,29.0,2560 x 1080,75,5,IPS,21:9,
Acer,Nitro XV270U,27.0,2560 x 1440,75,5,IPS,16:9,
Samsung,LU28E590DS/ZA,28.0,3840 x 2160,60,5,TN,16:9,
Philips,246E9QDSB,23.8,1920 x 1080,75,5,IPS,16:9,
Samsung,LC27F396FHNXZA,27.0,1920 x 1080,60,4,VA,16:9,
AOC,AGON AG322QCX,31.5,2560 x 1440,144,5,VA,16:9,
AOC,Q3279VWF,31.5,2560 x 1440,75,4,VA,16:9,531.00
LG,29UM60-P,29.0,2560 x 1080,75,5,IPS,21:9,226.79
LG,27UD68-W,27.0,3840 x 2160,60,4,IPS,16:9,
Philips,345B1C/00,34.0,3440 x 1440,100,1,VA,21:9,
Asus,MX34VQ,34.0,3440 x 1440,100,5,VA,21:9,659.99
ViewSonic,VX3258-2KC-MHD,31.5,2560 x 1440,144,5,VA,16:9,
Acer,B277U bmiipprzx,27.0,2560 x 1440,75,4,IPS,16:9,285.64
AOC,27V2Q,27.0,1920 x 1080,75,5,IPS,16:9,
Samsung,UH850,31.5,3840 x 2160,60,4,VA,16:9,520.54
iiyama,G-MASTER GB2560HSU-B1,24.5,1920 x 1080,144,4,TN,16:9,318.00
LG,34WK500-P,34.0,2560 x 1080,75,2,IPS,21:9,
iiyama,ProLite XUB2792QSU-B1,27.0,2560 x 1440,70,1,IPS,16:9,416.00
VIOTEK,GN32DB,32.0,2560 x 1440,144,1,VA,16:9,
Acer,XB273 Gxbmiipprzx,27.0,1920 x 1080,240,5,IPS,16:9,
VIOTEK,GN27DB,27.0,2560 x 1440,144,1,VA,16:9,
Asus,VA32UQ,31.5,3840 x 2160,60,5,VA,16:9,374.18
Acer,V277 bmipx,27.0,1920 x 1080,75,4,IPS,16:9,186.99
ViewSonic,VX2257-MHD,21.5,1920 x 1080,60,5,TN,16:9,119.99
Samsung,U28E850R,28.0,3840 x 2160,60,4,TN,16:9,
MSI,Optix MAG241CR,23.6,1920 x 1080,144,1,VA,16:9,
LG,27BK67U-B,27.0,3840 x 2160,60,5,IPS,16:9,334.94
Asus,VG255H,24.5,1920 x 1080,75,5,TN,16:9,
VIOTEK,NB32CB,32.0,1920 x 1080,75,1,VA,16:9,
Acer,ED242QR wi,23.6,1920 x 1080,75,5,VA,16:9,266.98
BenQ,EW3280U,32.0,3840 x 2160,60,1,IPS,16:9,749.99
LG,32UD60-B,32.0,3840 x 2160,60,1,VA,16:9,390.28
iiyama,G-MASTER SILVER CROW,27.0,2560 x 1440,75,4,TN,16:9,379.00
LG,38UC99-W,37.5,3840 x 1600,75,5,IPS,12:5,1030.99
LG,32UD99-W,31.5,3840 x 2160,60,1,IPS,16:9,949.99
Pixio,PX276,27.0,2560 x 1440,144,1,TN,16:9,
Asus,Designo MX27UCS,27.0,3840 x 2160,60,5,IPS,16:9,528.99
Acer,Nitro XF252Q,24.5,1920 x 1080,240,4,TN,16:9,
AOC,AGON AG251FZ2,25.0,1920 x 1080,240,4,TN,16:9,
Deco,Gear DGVIEW201OB,35.0,3440 x 1440,100,5,VA,21:9,399.99
ViewSonic,VX3258-PC-MHD,31.5,1920 x 1080,165,4,VA,16:9,
Dell,S3219D,32.0,2560 x 1440,60,1,VA,16:9,359.94
MSI,Optix MAG240VC,23.6,1920 x 1080,144,1,VA,16:9,
MSI,Optix MAG270VC,27.0,1920 x 1080,144,1,VA,16:9,
Philips,226E9QDSB/27,21.5,1920 x 1080,75,4,IPS,16:9,
ViewSonic,VX2757-mhd,27.0,1920 x 1080,60,2,TN,16:9,164.99
HP,27q,27.0,2560 x 1440,75,5,PLS,16:9,299.99
Acer,B277 bmiprx,27.0,1920 x 1080,75,6,IPS,16:9,185.72
Asus,VL279HE,27.0,1920 x 1080,75,5,IPS,16:9,
Philips,278E9QJAB,27.0,1920 x 1080,60,4,VA,16:9,
LG,38WK95C-W,37.5,3840 x 1600,75,5,IPS,12:5,1046.99
AOC,27V2H,27.0,1920 x 1080,75,5,IPS,16:9,199.99
Philips,226E9QDSB,21.5,1920 x 1080,75,4,IPS,16:9,
LG,32QK500-W,32.0,2560 x 1440,144,8,IPS,16:9,309.94
AOC,AG271QX,27.0,2560 x 1440,144,1,TN,16:9,
ViewSonic,XG2702,27.0,1920 x 1080,75,1,TN,16:9,
LG,24MP59HT-P,23.8,1920 x 1080,75,5,IPS,16:9,
Asus,VZ27AQ,27.0,2560 x 1440,75,5,IPS,16:9,
AOC,G2778VQ,27.0,1920 x 1080,75,1,TN,16:9,544.00
